名称,地址,经度,纬度,类别,日营业额,面积(㎡),人均消费,评分,品牌分,营业时间,停车位,标签
牛排家(小寨兴善寺西街店),陕西省西安市雁塔区朱雀大街13号,108.942084,34.222035,西餐,26691,297,90,4.6,4.7,10:00-23:00,有(地面),"社区,学生客群,临街"
醉长安(钟楼南大街店),陕西省西安市碑林区长安北路5号,108.947919,34.256587,中餐,20145,403,64,4.0,3.1,"11:00-14:00,17:00-21:00",有(地下),"核心商圈,商务客群,高消费"
福苗小骆驼(高新唐延路店),陕西省西安市高新区高新路11号,108.887573,34.227113,烧烤,25000,152,70,4.0,3.7,11:00-23:00,路边,"商务区,写字楼密集,工作日为主"
原麦山丘(新城解放路店),陕西省西安市新城区解放路13号,108.964359,34.268996,烘焙,6588,120,31,4.1,4.1,08:00-22:00,无,"老商圈,社区,中老年客群"
正宗裤带面(高新锦业路店),陕西省西安市高新区沣惠南路34号,108.874047,34.193271,面馆,4491,131,27,4.0,4.2,06:00-14:00,路边,"新兴商务区,高收入,停车便利"
米旗(大雁塔北广场店),陕西省西安市雁塔区雁塔西路26号,108.958922,34.218674,烘焙,5930,72,31,4.8,4.8,09:00-21:00,有,"景区,旅游客群,夜间经济"
奈雪的茶(高新科技路店),陕西省西安市高新区科技路7号,108.893138,34.229071,茶饮,3752,53,21,4.1,4.5,10:00-22:00,有,"商务区,高收入客群,白领"
小骆驼烧烤(莲湖龙首原店),陕西省西安市莲湖区劳动路26号,108.946196,34.287593,烧烤,12323,323,68,4.6,4.3,16:00-01:00,无,"社区,交通枢纽,中端消费"
长安大排档(钟楼南大街店),陕西省西安市碑林区长安北路14号,108.947265,34.257601,中餐,30047,433,54,3.9,4.3,11:00-21:30,有(地面),"核心商圈,商务客群,高消费"
必胜客(未央汉神广场店),陕西省西安市未央区凤城五路22号,108.935319,34.337765,西餐,18378,236,84,4.5,4.6,10:00-23:00,有(地下),"购物中心,商务客群,交通便利"
喜茶(钟楼东大街店),陕西省西安市碑林区东大街22号,108.952739,34.260623,茶饮,4536,27,24,4.1,3.3,09:00-23:00,有,"核心商圈,旅游客群,高租金"
COMMUNE(电子城电子正街店),陕西省西安市雁塔区丈八东路14号,108.916155,34.208279,西餐,11296,190,95,3.9,4.4,"11:00-14:00,17:00-21:00",无,"社区,居民区,稳定客流"
遇见长安(小寨兴善寺西街店),陕西省西安市雁塔区翠华路13号,108.940299,34.223679,中餐,21379,370,73,4.3,4.9,"11:00-14:00,17:00-21:00",无,"社区,学生客群,临街"
御品轩(小寨长安中路店),陕西省西安市雁塔区含光路6号,108.945238,34.221645,烘焙,6257,117,27,4.2,4.0,07:00-21:00,无,"商圈,交通枢纽,高曝光"
牛排家(大悦城店),陕西省西安市雁塔区含光路51号,108.963840,34.217563,西餐,30000,291,110,4.0,4.3,11:00-22:00,有(地面),"购物中心,家庭客群,高客流"
星巴克(高新唐延路店),陕西省西安市高新区锦业路3号,108.888083,34.225698,茶饮,6168,44,20,4.6,4.3,10:00-22:00,有,"商务区,写字楼密集,工作日为主"
蜀椒鱼妹私房菜(莲湖西大街百盛店),陕西省西安市莲湖区北大街7号,108.935616,34.262425,中餐,19073,459,71,4.2,4.1,10:00-22:00,有(地下),"商圈,旅游客群,老城区"
原麦山丘(小寨兴善寺西街店),陕西省西安市雁塔区雁塔西路11号,108.941087,34.222718,烘焙,7138,69,30,4.0,4.4,09:00-21:00,无,"社区,学生客群,临街"
巴奴毛肚火锅(大悦城店),陕西省西安市雁塔区小寨东路33号,108.960864,34.217132,火锅,37481,496,161,4.0,4.3,10:00-22:00,有(地下),"购物中心,家庭客群,高客流"
COMMUNE(曲江金地广场店),陕西省西安市雁塔区翠华路44号,108.976910,34.207063,西餐,24572,220,122,3.9,4.4,"11:00-14:00,17:00-21:00",无,"高端社区,家庭客群,高消费"
樊记肉夹馍(小寨赛格店),陕西省西安市雁塔区慈恩路11号,108.940758,34.226920,小吃,1204,44,16,4.6,4.4,06:00-20:00,无,"商圈,高客流,年轻客群"
好利来(钟楼粉巷店),陕西省西安市碑林区长安北路15号,108.941363,34.257196,烘焙,10000,99,26,4.7,4.4,07:00-21:00,无,"特色街区,年轻客群,酒吧文化"
叁宝烤肉(小寨长安中路店),陕西省西安市雁塔区含光路11号,108.943300,34.220799,烧烤,25000,259,74,4.6,4.9,11:00-23:00,无,"商圈,交通枢纽,高曝光"
茶话弄(高新唐延路店),陕西省西安市高新区锦业路6号,108.888075,34.226491,茶饮,6020,60,25,4.2,3.0,08:00-22:00,无,"商务区,写字楼密集,工作日为主"
正宗裤带面(小寨赛格店),陕西省西安市雁塔区小寨东路3号,108.941705,34.223010,面馆,4459,125,20,4.3,4.6,08:00-21:00,路边,"商圈,高客流,年轻客群"
